1,1,Thelma's Vivienda Universitaria,187,136,744,N
2,2,Carolyn's Vivienda Universitaria,148,385,525,Y
3,3,Carol's Vivienda Universitaria,322,337,160,Y
4,4,William's Vivienda Universitaria,247,496,573,Y
5,5,Robert's Vivienda Universitaria,320,422,766,Y
6,6,Gwen's Vivienda Universitaria,463,212,103,Y
7,7,Donald's Vivienda Universitaria,475,108,832,Y
8,8,Rex's Vivienda Universitaria,231,118,834,Y
9,9,Mary's Vivienda Universitaria,467,429,389,Y
10,10,John's Vivienda Universitaria,122,409,197,N
11,11,William's Vivienda Universitaria,220,415,103,N
12,12,Vernon's Vivienda Universitaria,412,407,836,N
13,13,Tamara's Vivienda Universitaria,237,176,657,N
14,14,Miguel's Vivienda Universitaria,234,418,176,N
15,15,Heather's Vivienda Universitaria,218,396,773,Y
16,16,Denise's Vivienda Universitaria,166,372,721,N
17,17,Cecelia's Vivienda Universitaria,271,125,320,N
18,18,James's Vivienda Universitaria,156,144,928,N
19,19,Henry's Vivienda Universitaria,272,170,651,Y
20,20,Veronica's Vivienda Universitaria,269,310,473,N
21,21,Stephen's Vivienda Universitaria,322,253,765,N
22,22,Fred's Vivienda Universitaria,166,425,550,Y
23,23,Ella's Vivienda Universitaria,102,307,693,Y
24,24,Mose's Vivienda Universitaria,359,455,980,Y
25,25,Randall's Vivienda Universitaria,239,403,725,N
26,26,Merle's Vivienda Universitaria,225,313,464,N
27,27,Edmond's Vivienda Universitaria,104,295,523,N
28,28,Nannette's Vivienda Universitaria,296,166,173,N
29,29,Lonnie's Vivienda Universitaria,136,398,498,Y
30,30,Christopher's Vivienda Universitaria,422,167,309,Y
31,31,Juanita's Vivienda Universitaria,221,349,618,N
32,32,Yesenia's Vivienda Universitaria,222,434,821,N
33,33,Georgia's Vivienda Universitaria,467,263,201,Y
34,34,Meghan's Vivienda Universitaria,237,407,677,N
35,35,Terence's Vivienda Universitaria,481,386,849,N
36,36,Larry's Vivienda Universitaria,106,272,695,N
37,37,Karen's Vivienda Universitaria,341,278,249,N
38,38,Patrick's Vivienda Universitaria,478,224,1000,Y
39,39,Queenie's Vivienda Universitaria,481,486,829,Y
40,40,Peter's Vivienda Universitaria,215,394,594,N
41,41,Karen's Vivienda Universitaria,398,389,235,Y
42,42,Phillip's Vivienda Universitaria,387,428,529,N
43,43,Willie's Vivienda Universitaria,108,403,873,Y
44,44,Sarah's Vivienda Universitaria,191,372,952,N
45,45,Steven's Vivienda Universitaria,266,102,723,N
46,46,Frank's Vivienda Universitaria,234,427,869,N
47,47,Scott's Vivienda Universitaria,433,344,133,N
48,48,Lana's Vivienda Universitaria,339,375,869,Y
49,49,Justin's Vivienda Universitaria,491,157,147,N
50,50,Matthew's Vivienda Universitaria,428,199,330,Y
51,51,Lisa's Vivienda Universitaria,160,209,187,Y
52,52,Walter's Vivienda Universitaria,350,170,334,N
53,53,Darlene's Vivienda Universitaria,400,288,542,Y
54,54,Callie's Vivienda Universitaria,200,329,906,N
55,55,Paul's Vivienda Universitaria,402,397,590,N
56,56,James's Vivienda Universitaria,302,230,845,Y
57,57,David's Vivienda Universitaria,189,293,471,N
58,58,Kari's Vivienda Universitaria,334,404,188,N
59,59,Tanisha's Vivienda Universitaria,192,206,252,N
60,60,Elizabeth's Vivienda Universitaria,335,451,891,N
61,61,Amelia's Vivienda Universitaria,125,402,991,Y
62,62,Paul's Vivienda Universitaria,317,278,840,N
63,63,Lawrence's Vivienda Universitaria,450,199,919,N
64,64,Felipe's Vivienda Universitaria,450,446,254,Y
65,65,Betty's Vivienda Universitaria,288,267,818,N
66,66,Erik's Vivienda Universitaria,352,379,773,Y
67,67,Bradley's Vivienda Universitaria,358,181,953,Y
68,68,Shaun's Vivienda Universitaria,317,401,138,N
69,69,Jason's Vivienda Universitaria,413,252,542,Y
70,70,Mary's Vivienda Universitaria,233,238,902,Y
71,71,Mitchell's Vivienda Universitaria,347,198,889,Y
72,72,Danny's Vivienda Universitaria,407,368,402,Y
73,73,George's Vivienda Universitaria,456,166,463,N
74,74,Elaine's Vivienda Universitaria,311,392,146,N
75,75,Ryan's Vivienda Universitaria,447,180,356,Y
76,76,Mina's Vivienda Universitaria,296,345,294,Y
77,77,Scott's Vivienda Universitaria,324,459,914,N
78,78,Erica's Vivienda Universitaria,162,113,402,Y
79,79,Doris's Vivienda Universitaria,277,361,650,Y
80,80,Carl's Vivienda Universitaria,225,308,296,Y
81,81,Richard's Vivienda Universitaria,176,481,986,Y
82,82,Yoko's Vivienda Universitaria,204,323,837,N
83,83,Clarence's Vivienda Universitaria,273,474,524,Y
84,84,Megan's Vivienda Universitaria,458,314,895,Y
85,85,Jean's Vivienda Universitaria,443,299,919,Y
86,86,Janene's Vivienda Universitaria,447,389,721,Y
87,87,Ronald's Vivienda Universitaria,221,294,798,Y
88,88,Jose's Vivienda Universitaria,328,395,966,Y
89,89,William's Vivienda Universitaria,407,455,162,Y
90,90,Sally's Vivienda Universitaria,232,434,495,N
91,91,Meagan's Vivienda Universitaria,329,500,128,Y
92,92,Linda's Vivienda Universitaria,341,328,981,N
93,93,Cathy's Vivienda Universitaria,235,395,115,N
94,94,Irene's Vivienda Universitaria,257,172,787,N
95,95,Angel's Vivienda Universitaria,290,432,215,Y
96,96,Victoria's Vivienda Universitaria,467,373,547,Y
97,97,Ronald's Vivienda Universitaria,372,432,105,Y
98,98,Mary's Vivienda Universitaria,243,251,147,N
99,99,James's Vivienda Universitaria,102,235,130,Y
100,100,Laurel's Vivienda Universitaria,184,484,471,Y
101,101,Phylis's Vivienda Universitaria,415,470,615,Y
102,102,Jose's Vivienda Universitaria,108,151,191,N
103,103,Robert's Vivienda Universitaria,238,386,779,N
104,104,Angela's Vivienda Universitaria,233,238,312,N
105,105,Robert's Vivienda Universitaria,500,230,792,Y
106,106,Nathan's Vivienda Universitaria,328,469,611,N
107,107,Alejandro's Vivienda Universitaria,497,255,486,N
108,108,Lawrence's Vivienda Universitaria,219,392,389,N
109,109,Clarence's Vivienda Universitaria,268,340,216,Y
110,110,Roy's Vivienda Universitaria,129,398,624,Y
111,111,Josephine's Vivienda Universitaria,157,398,724,N
112,112,Jason's Vivienda Universitaria,204,336,104,Y
113,113,Leah's Vivienda Universitaria,146,390,955,Y
114,114,Sharon's Vivienda Universitaria,293,466,706,N
115,115,Chris's Vivienda Universitaria,225,421,606,N
116,116,Denise's Vivienda Universitaria,259,431,569,N
117,117,Joyce's Vivienda Universitaria,488,274,142,N
118,118,Doris's Vivienda Universitaria,132,254,811,Y
119,119,Joseph's Vivienda Universitaria,484,252,517,Y
120,120,Flora's Vivienda Universitaria,397,424,243,N
121,121,Bradley's Vivienda Universitaria,348,346,239,Y
122,122,Connie's Vivienda Universitaria,185,454,911,Y
123,123,George's Vivienda Universitaria,155,248,781,N
124,124,Lenora's Vivienda Universitaria,122,209,541,Y
125,125,Valerie's Vivienda Universitaria,149,252,234,N
126,126,John's Vivienda Universitaria,411,428,489,N
127,127,Joseph's Vivienda Universitaria,476,300,762,N
128,128,Thomas's Vivienda Universitaria,479,243,586,N
129,129,June's Vivienda Universitaria,309,427,925,N
130,130,Jammie's Vivienda Universitaria,482,159,320,N
131,131,Laurence's Vivienda Universitaria,465,397,657,Y
132,132,Adrian's Vivienda Universitaria,433,347,680,Y
133,133,Stella's Vivienda Universitaria,493,184,553,Y
134,134,John's Vivienda Universitaria,329,241,393,Y
135,135,Agnes's Vivienda Universitaria,379,139,564,N
136,136,Philip's Vivienda Universitaria,180,201,302,Y
137,137,Jose's Vivienda Universitaria,102,147,613,Y
138,138,Juliana's Vivienda Universitaria,207,275,368,N
139,139,Ruby's Vivienda Universitaria,387,212,619,N
140,140,Gail's Vivienda Universitaria,204,437,389,Y
141,141,Jasmin's Vivienda Universitaria,370,431,486,Y
142,142,George's Vivienda Universitaria,264,160,969,N
143,143,Roselee's Vivienda Universitaria,365,106,517,N
144,144,James's Vivienda Universitaria,290,259,360,N
145,145,Nancy's Vivienda Universitaria,258,371,393,Y
