50001,Y,N,41623
50002,N,Y,46990
50003,Y,Y,33464
50004,Y,Y,34473
50005,Y,Y,44635
50006,Y,N,4826
50007,Y,N,28633
50008,N,N,45869
50009,Y,Y,17647
50010,Y,Y,45614
50011,N,N,1311
50012,Y,N,10105
50013,N,N,20255
50014,Y,N,2165
50015,N,N,28028
50016,N,N,39734
50017,N,N,31938
50018,Y,N,46513
50019,N,N,49978
50020,N,N,27229
50021,N,Y,7113
50022,N,Y,8992
50023,Y,N,6249
50024,N,N,27570
50025,Y,Y,44224
50026,N,Y,37990
50027,N,Y,40853
50028,Y,N,31366
50029,Y,Y,48725
50030,Y,N,9064
50031,N,Y,20713
50032,Y,Y,44077
50033,N,N,49453
50034,Y,N,32241
50035,N,N,42225
50036,Y,Y,22806
50037,Y,N,41775
50038,N,N,46746
50039,N,Y,42418
50040,N,Y,17109
50041,N,Y,44649
50042,Y,N,33436
50043,Y,Y,41797
50044,Y,N,32820
50045,Y,N,18788
50046,N,Y,42276
50047,N,Y,8169
50048,N,N,38087
50049,N,Y,32198
50050,Y,N,18527
50051,Y,Y,44617
50052,Y,N,16398
50053,N,Y,39650
50054,Y,N,36722
50055,N,N,48472
50056,Y,N,6866
50057,Y,N,10500
50058,Y,Y,5272
50059,N,N,8238
50060,N,N,47197
50061,N,Y,46025
50062,Y,N,13140
50063,N,N,29003
50064,N,Y,1688
50065,N,N,32053
50066,N,N,14317
50067,N,Y,35218
50068,Y,N,2488
50069,Y,N,11348
50070,Y,N,31004
50071,Y,N,10738
50072,Y,Y,43243
50073,Y,Y,40994
50074,Y,N,16599
50075,Y,N,22066
50076,N,N,4636
50077,Y,Y,5218
50078,N,N,24957
50079,Y,N,48902
50080,N,N,44298
50081,Y,Y,3793
50082,Y,Y,1626
50083,N,N,38751
50084,N,Y,36330
50085,Y,N,43223
50086,Y,Y,39307
50087,N,Y,16572
50088,N,N,2927
50089,N,N,6782
50090,Y,N,38750
50091,Y,N,24530
50092,N,Y,12742
50093,N,Y,38817
50094,Y,N,284
50095,N,Y,42704
50096,N,N,7500
50097,Y,Y,42084
50098,Y,Y,20181
50099,N,Y,9253
50100,Y,N,8436
50101,N,N,41095
50102,N,Y,43896
50103,N,Y,36341
50104,N,Y,18422
50105,Y,N,35563
50106,N,Y,25599
50107,Y,N,35004
50108,N,N,40925
50109,Y,N,47009
50110,Y,Y,32630
50111,N,Y,47951
50112,N,N,28253
50113,Y,Y,32691
50114,N,N,10229
50115,Y,Y,29883
50116,Y,Y,7551
50117,N,N,43378
50118,Y,N,49546
50119,Y,Y,48666
50120,N,Y,3643
50121,Y,Y,44790
50122,Y,Y,43798
50123,Y,Y,36805
50124,Y,Y,44752
50125,N,N,41093
50126,N,N,12854
50127,N,N,10713
50128,N,Y,30233
50129,Y,N,4396
50130,Y,Y,44343
50131,Y,N,36506
50132,N,N,41524
50133,Y,N,43547
50134,N,Y,20797
50135,N,N,45758
50136,Y,N,18262
50137,N,N,40966
50138,Y,N,49038
50139,N,N,16486
50140,Y,N,19979
50141,Y,Y,831
50142,N,N,29489
50143,N,Y,34966
50144,N,Y,6382
50145,Y,N,14796
50146,N,N,10226
50147,Y,N,5448
50148,N,N,9303
50149,Y,N,38303
50150,N,N,37485
50151,Y,N,32747
50152,Y,N,5128
50153,Y,Y,8643
50154,Y,Y,9966
50155,Y,N,35651
50156,N,N,21603
50157,Y,Y,12906
50158,Y,Y,2827
50159,N,Y,9070
50160,N,N,16309
50161,N,Y,20688
50162,N,N,44887
50163,N,Y,38868
50164,N,Y,16428
50165,Y,N,16650
50166,Y,Y,36897
50167,Y,N,4189
50168,N,N,27373
50169,Y,Y,40845
50170,Y,Y,23111
50171,Y,Y,45286
50172,Y,Y,44595
50173,Y,N,3130
50174,Y,Y,46418
50175,N,Y,33572
50176,N,N,9890
50177,Y,Y,14415
50178,Y,Y,23406
50179,Y,Y,39154
50180,Y,N,25513
50181,N,N,31671
50182,N,Y,42618
50183,N,Y,49813
50184,N,Y,43849
50185,N,Y,28617
50186,Y,N,19679
50187,N,N,42513
50188,Y,Y,27134
50189,N,Y,192
50190,Y,Y,28463
50191,N,Y,10605
50192,Y,N,18312
50193,N,N,10318
50194,Y,Y,41488
50195,N,Y,20416
50196,Y,Y,34361
50197,Y,Y,33291
50198,Y,Y,1383
50199,Y,N,27653
50200,Y,Y,37024
50201,N,Y,17512
50202,Y,Y,16992
50203,Y,N,6589
50204,Y,N,41629
50205,Y,Y,40952
50206,N,N,14179
50207,N,Y,18596
50208,Y,N,11117
50209,N,Y,5098
50210,Y,Y,2923
50211,N,Y,16773
50212,N,N,47047
50213,Y,N,9254
50214,N,Y,5394
50215,Y,N,20571
50216,N,N,36167
50217,Y,Y,38550
50218,N,N,893
50219,Y,Y,39554
50220,Y,N,14501
50221,Y,N,44611
50222,Y,N,13143
50223,Y,Y,25641
50224,Y,Y,18500
50225,N,Y,35755
50226,Y,N,40965
50227,Y,N,11653
50228,Y,N,37056
50229,Y,Y,18619
50230,Y,Y,35884
50231,Y,Y,3193
50232,N,Y,11864
50233,Y,N,1086
50234,N,Y,3319
50235,Y,Y,28413
50236,N,N,24112
50237,N,Y,5886
50238,Y,Y,6786
50239,N,N,28484
50240,Y,N,20323
50241,N,N,4928
50242,Y,N,4864
50243,Y,Y,28780
50244,Y,Y,18213
50245,N,N,47884
50246,N,Y,39289
50247,Y,Y,14322
50248,Y,N,41551
50249,Y,N,15770
50250,N,Y,19367
50251,N,Y,7573
50252,N,N,4898
50253,Y,N,11939
50254,Y,Y,2097
50255,Y,N,5608
50256,Y,N,42554
50257,N,N,36295
50258,Y,Y,32509
50259,Y,Y,3302
50260,N,N,44787
50261,N,Y,4047
50262,Y,N,21849
50263,N,Y,11230
50264,Y,Y,38791
50265,N,N,40837
50266,N,Y,42634
50267,N,Y,12025
50268,N,N,35510
50269,Y,Y,25575
50270,Y,Y,28519
50271,Y,N,47110
50272,N,Y,25022
50273,N,Y,34087
50274,N,N,19270
50275,N,N,35263
50276,N,N,560
50277,N,Y,16847
50278,Y,Y,49711
50279,Y,N,14267
50280,Y,N,17375
50281,Y,Y,8445
50282,Y,N,18593
50283,Y,Y,47009
50284,N,N,42333
50285,N,N,17108
50286,Y,N,46009
50287,Y,Y,16341
50288,Y,N,24103
50289,Y,Y,31544
50290,Y,N,15374
50291,Y,N,23980
50292,N,N,10146
50293,Y,N,2646
50294,N,N,17765
50295,Y,N,21576
