222838,1,330
216171,8,357
229502,4,341
228774,2,151
165950,3,279
218339,6,572
181620,4,394
166756,13,394
164311,2,772
182281,10,271
152823,4,349
185641,7,743
212191,13,179
152655,7,758
179258,9,377
165283,11,792
161657,10,598
157674,1,804
172044,9,728
185153,7,127
219769,4,891
216277,10,283
222244,10,439
207423,7,380
156990,11,346
197301,8,378
160858,6,764
173381,3,381
226034,5,453
169272,7,488
212642,8,404
185839,1,614
225840,5,469
185473,1,783
195341,3,424
157714,5,395
209046,5,839
202772,12,525
183788,2,499
192978,9,997
190117,6,627
208035,1,786
162180,11,266
224997,2,171
194233,6,226
211721,6,453
182059,9,583
218486,5,985
181365,12,254
163178,2,943
164321,7,653
171247,12,803
207633,12,437
206661,13,976
165221,11,422
209337,7,970
228930,12,113
180239,7,260
186936,6,973
205585,1,597
168832,9,959
199417,12,977
200713,3,105
225672,6,833
193944,4,310
155727,5,262
220530,8,594
166157,2,807
180128,9,520
222785,13,895
196776,2,584
167257,10,498
222168,4,983
181354,5,907
181298,13,517
173591,12,597
174230,2,102
175448,9,342
190367,1,968
216084,3,772
156719,12,561
194981,2,683
179721,6,865
157241,4,999
199889,4,491
165431,7,456
172820,2,152
190948,9,626
179391,8,186
163573,3,674
172880,7,765
184595,9,853
215236,9,282
211706,10,399
208662,6,290
164445,11,239
180000,8,969
154886,9,858
150263,2,979
218359,8,670
167658,8,421
204658,10,588
222166,1,788
228864,3,806
192528,9,615
214548,4,409
161961,9,685
214848,7,358
209046,3,331
213697,11,418
182038,6,480
197217,1,262
220269,3,860
209737,11,543
183663,3,532
151075,9,127
196220,5,422
187620,2,277
166636,8,481
183042,5,389
208464,13,470
216939,13,840
200557,1,827
214693,7,582
224848,7,262
158909,5,847
155041,12,936
162459,1,579
177813,12,201
195486,11,908
202110,6,663
169620,3,592
217995,2,127
205151,1,349
159963,6,313
184124,3,254
195968,6,606
222749,5,521
181520,7,266
222501,9,644
160894,5,789
168200,1,895
203975,2,462
208537,2,206
218888,5,472
229504,6,912
212482,2,457
212558,4,347
228698,1,169
214821,8,837
225898,13,381
200523,12,601
167035,10,225
166657,1,257
190146,8,532
166478,11,753
163471,5,797
187476,3,494
216915,2,781
191203,9,773
227612,5,216
178157,11,114
159311,9,886
172295,11,376
224428,12,620
207150,4,970
186747,5,546
152729,12,970
196006,3,334
228980,4,386
151991,10,939
163477,3,929
168883,10,479
220054,12,132
180016,1,285
163267,4,134
165514,5,625
194525,13,325
157355,5,510
187073,9,534
181372,10,544
186217,1,716
225538,7,834
218100,13,613
222217,4,861
197923,8,496
164596,6,325
165764,2,673
225466,6,850
222945,2,241
204800,11,252
195858,4,563
178489,2,120
200638,6,651
212894,13,707
186981,3,518
197350,9,968
168269,5,333
150440,5,986
179949,11,838
186089,10,132
164264,5,223
181293,7,733
228944,6,500
226770,10,944
168322,3,554
202869,3,694
191427,2,674
221682,12,818
156658,6,975
168226,9,484
161683,7,979
209051,6,917
195453,5,743
194549,13,907
180153,11,462
150063,8,653
187950,11,927
150365,13,673
199526,10,733
165152,7,549
199370,1,929
152809,11,404
152831,4,988
203771,9,642
160183,3,819
214849,4,412
187125,1,774
204095,2,414
196980,6,614
209175,7,198
212095,9,921
201567,6,573
189534,10,950
198228,1,180
196319,4,309
181291,13,653
200096,12,563
224663,9,904
190331,1,260
158938,7,868
194370,12,420
186507,11,830
153660,1,754
212281,4,901
220041,6,621
225624,11,725
214684,5,730
171585,10,112
215448,5,190
152944,7,414
178584,5,535
159531,7,406
207860,7,356
214821,2,210
205715,3,588
171403,12,267
201673,9,388
215818,13,889
218300,9,359
185033,12,693
182210,3,381
205651,4,665
185205,8,426
174292,9,574
188408,5,453
172236,8,145
169694,13,701
185154,4,434
207028,2,566
201781,9,208
185948,10,995
164735,6,557
211109,12,333
189794,10,566
185909,4,840
181039,5,984
219623,10,316
207217,7,187
205028,9,440
177422,11,633
194006,2,344
178356,6,621
151364,9,483
216537,5,990
188143,3,684
152098,1,327
195407,9,769
157929,2,247
207076,3,384
170653,1,405
202441,1,566
180947,13,453
227889,10,417
153805,4,942
196173,4,648
226492,9,765
208458,12,500
181056,12,324
169840,2,862
