1,1,Tyrone's Hostal,8 A.M.,5 P.M.
2,2,Alice's Hostal,8 A.M.,5 P.M.
3,3,Terrence's Hostal,8 A.M.,5 P.M.
4,4,Alice's Hostal,8 A.M.,5 P.M.
5,5,Traci's Hostal,8 A.M.,5 P.M.
6,6,Timothy's Hostal,8 A.M.,5 P.M.
7,7,Sidney's Hostal,8 A.M.,5 P.M.
8,8,Rob's Hostal,8 A.M.,5 P.M.
9,9,Eldridge's Hostal,8 A.M.,5 P.M.
10,10,Marie's Hostal,8 A.M.,5 P.M.
11,11,Rafael's Hostal,8 A.M.,5 P.M.
12,12,Charles's Hostal,8 A.M.,5 P.M.
13,13,John's Hostal,8 A.M.,5 P.M.
14,14,Reginald's Hostal,8 A.M.,5 P.M.
15,15,Dennis's Hostal,8 A.M.,5 P.M.
16,16,Kyle's Hostal,8 A.M.,5 P.M.
17,17,John's Hostal,8 A.M.,5 P.M.
18,18,Veronica's Hostal,8 A.M.,5 P.M.
19,19,Ethan's Hostal,8 A.M.,5 P.M.
20,20,Octavia's Hostal,8 A.M.,5 P.M.
21,21,Mary's Hostal,8 A.M.,5 P.M.
22,22,Hubert's Hostal,8 A.M.,5 P.M.
23,23,Edna's Hostal,8 A.M.,5 P.M.
24,24,Velda's Hostal,8 A.M.,5 P.M.
25,25,Shawanda's Hostal,8 A.M.,5 P.M.
26,26,Margaret's Hostal,8 A.M.,5 P.M.
27,27,Clinton's Hostal,8 A.M.,5 P.M.
28,28,Marylou's Hostal,8 A.M.,5 P.M.
29,29,Brandon's Hostal,8 A.M.,5 P.M.
30,30,Rene's Hostal,8 A.M.,5 P.M.
31,31,Richard's Hostal,8 A.M.,5 P.M.
32,32,Jenni's Hostal,8 A.M.,5 P.M.
33,33,James's Hostal,8 A.M.,5 P.M.
34,34,Gabriel's Hostal,8 A.M.,5 P.M.
35,35,Catherine's Hostal,8 A.M.,5 P.M.
36,36,Richard's Hostal,8 A.M.,5 P.M.
37,37,Kathleen's Hostal,8 A.M.,5 P.M.
38,38,Marie's Hostal,8 A.M.,5 P.M.
39,39,Samatha's Hostal,8 A.M.,5 P.M.
40,40,Cherie's Hostal,8 A.M.,5 P.M.
41,41,Donald's Hostal,8 A.M.,5 P.M.
