190001,individual,3,17119
190002,compartido,1,6340
190003,compartido,2,1349
190004,compartido,1,10230
190005,compartido,2,19869
190006,individual,3,15766
190007,individual,3,5683
190008,individual,2,4478
190009,compartido,4,17561
190010,compartido,3,12059
190011,individual,3,2001
190012,compartido,1,11012
190013,compartido,3,17336
190014,compartido,4,19721
190015,individual,4,15242
190016,compartido,1,3030
190017,individual,1,8373
190018,individual,4,4390
190019,compartido,2,413
190020,individual,2,1803
190021,compartido,2,17239
190022,compartido,3,4949
190023,individual,1,4957
190024,individual,1,2392
190025,compartido,2,10075
190026,individual,2,1339
190027,individual,2,17973
190028,compartido,1,9798
190029,individual,3,18880
190030,individual,4,3504
190031,compartido,2,15040
190032,individual,1,14528
190033,compartido,3,14341
190034,individual,1,1741
190035,compartido,1,17171
190036,compartido,1,11341
190037,compartido,1,1650
190038,individual,1,14830
190039,individual,3,19426
190040,individual,1,4042
190041,individual,3,3903
190042,compartido,4,10143
190043,compartido,1,1442
190044,individual,1,6890
190045,individual,4,7004
190046,individual,3,7978
190047,compartido,2,15555
190048,compartido,1,11769
190049,compartido,4,19458
190050,individual,1,10574
190051,individual,2,10227
190052,individual,3,9644
190053,individual,4,17026
190054,individual,4,14911
190055,individual,1,3102
190056,compartido,4,17324
190057,individual,3,4757
190058,individual,3,18889
190059,individual,3,10498
190060,individual,1,10164
190061,compartido,2,7695
190062,compartido,3,9906
190063,compartido,4,2616
190064,individual,4,5471
190065,individual,2,13330
190066,individual,3,7550
190067,compartido,2,3404
190068,compartido,3,19797
190069,compartido,4,10521
190070,individual,2,553
190071,individual,1,5590
190072,individual,4,9830
190073,compartido,4,14572
190074,compartido,1,8843
190075,individual,3,15748
190076,individual,2,19057
190077,individual,1,18503
190078,individual,2,13887
190079,compartido,2,5796
190080,individual,4,6509
190081,compartido,2,2291
190082,compartido,3,6739
190083,individual,3,7724
190084,compartido,4,10483
190085,compartido,2,5350
190086,individual,1,3093
190087,individual,4,142
190088,compartido,1,15060
190089,individual,1,10177
190090,individual,4,7888
190091,compartido,3,12885
190092,individual,1,16425
190093,individual,1,18741
190094,compartido,3,149
190095,individual,1,9275
190096,individual,3,6878
190097,compartido,2,19235
190098,individual,4,14105
190099,individual,4,2002
190100,individual,3,2274
190101,individual,2,13858
190102,compartido,3,14555
190103,compartido,1,7502
190104,individual,3,6185
190105,individual,4,17788
190106,individual,4,2067
190107,compartido,1,1091
190108,individual,3,8576
190109,compartido,3,13561
190110,compartido,1,3495
190111,compartido,3,9427
190112,compartido,1,19412
190113,individual,3,15679
190114,compartido,4,12890
190115,individual,1,136
190116,individual,1,2866
190117,compartido,1,2722
190118,individual,4,3011
190119,individual,4,7975
190120,compartido,4,13719
190121,compartido,3,14495
190122,compartido,4,2255
190123,individual,1,14210
190124,compartido,4,2251
190125,compartido,3,12501
190126,individual,4,9473
190127,individual,4,11283
190128,individual,2,17429
190129,compartido,2,17827
190130,individual,1,1095
190131,individual,1,211
190132,compartido,1,7377
190133,compartido,3,3166
190134,individual,4,934
190135,compartido,2,14514
190136,compartido,4,185
190137,compartido,3,6624
190138,compartido,3,15018
190139,compartido,4,19162
190140,compartido,1,7525
190141,compartido,2,6871
190142,individual,1,4275
190143,compartido,4,7837
190144,individual,3,10315
190145,compartido,2,19545
190146,individual,1,17148
190147,individual,2,5984
190148,individual,1,14115
190149,individual,4,8168
190150,individual,3,13396
190151,compartido,1,8978
190152,individual,4,14294
190153,individual,4,8137
190154,individual,3,7183
190155,compartido,4,1019
190156,compartido,2,2901
190157,compartido,1,8134
190158,individual,4,17410
190159,compartido,2,2965
190160,compartido,1,12337
190161,individual,1,1914
190162,individual,3,4256
190163,compartido,2,8126
190164,compartido,2,10709
190165,individual,4,669
190166,compartido,2,5245
190167,compartido,1,14289
190168,individual,2,16418
190169,individual,3,1065
190170,compartido,2,11994
190171,individual,3,18940
190172,compartido,2,3631
190173,individual,2,9167
190174,compartido,2,12484
190175,individual,1,12897
190176,individual,4,8891
190177,individual,1,10020
190178,compartido,2,19455
190179,individual,2,11663
190180,compartido,2,12684
190181,individual,1,6402
190182,individual,3,11811
190183,individual,1,16632
190184,compartido,2,7371
190185,individual,2,8581
190186,individual,4,7305
190187,individual,3,3843
190188,compartido,3,12372
190189,compartido,1,17872
190190,individual,4,18240
190191,compartido,3,10237
190192,compartido,1,2736
190193,compartido,3,9161
190194,individual,1,16773
190195,individual,1,10104
190196,individual,4,7950
190197,compartido,3,7805
190198,individual,2,6669
190199,individual,2,18474
190200,individual,4,19001
190201,individual,4,1709
190202,individual,4,4755
190203,compartido,3,15955
190204,compartido,2,16421
190205,individual,4,7224
190206,compartido,3,9180
190207,individual,2,16317
190208,individual,3,12093
190209,compartido,2,3551
190210,individual,3,4400
190211,individual,1,11879
190212,individual,4,16453
190213,compartido,4,6608
190214,compartido,1,4917
190215,compartido,4,19746
190216,compartido,2,18612
190217,compartido,2,16347
190218,compartido,3,2668
190219,compartido,1,15811
190220,individual,4,8505
190221,individual,2,4418
190222,individual,1,8919
190223,compartido,2,12881
190224,compartido,3,13713
190225,individual,3,11823
190226,individual,2,13968
190227,compartido,3,10138
190228,compartido,1,5093
190229,individual,2,1924
190230,individual,2,16916
190231,compartido,2,12176
190232,individual,4,3772
190233,compartido,1,15879
190234,compartido,2,12820
190235,individual,2,11321
190236,individual,1,15202
190237,compartido,4,13783
190238,compartido,4,14535
190239,individual,1,19593
190240,compartido,1,4556
190241,compartido,1,5444
190242,individual,1,14751
190243,compartido,1,1921
190244,compartido,2,2317
190245,compartido,3,3195
190246,individual,4,3698
190247,individual,1,14644
190248,compartido,3,3971
190249,individual,2,17474
190250,compartido,4,8574
190251,individual,4,11251
190252,compartido,3,8667
190253,individual,1,7289
190254,compartido,2,18046
190255,compartido,4,18387
190256,individual,4,2220
190257,individual,3,7187
190258,compartido,2,18866
190259,compartido,1,16995
190260,individual,3,9592
190261,compartido,4,9850
190262,compartido,1,17833
190263,compartido,2,10232
190264,compartido,2,14792
190265,individual,2,19944
190266,compartido,2,6272
190267,individual,1,10530
190268,individual,2,18224
190269,individual,3,2307
190270,compartido,1,10765
190271,compartido,1,19646
190272,individual,2,6998
190273,compartido,1,6130
190274,compartido,3,18324
190275,individual,2,18424
190276,compartido,4,10730
190277,compartido,2,16076
190278,individual,1,1098
190279,individual,4,11434
190280,compartido,2,3891
190281,compartido,3,7718
190282,compartido,4,4612
190283,individual,2,11288
190284,compartido,4,11283
190285,individual,1,15045
190286,individual,2,11240
190287,individual,1,15183
190288,individual,3,10588
190289,compartido,3,15895
190290,compartido,4,6393
190291,individual,2,3734
190292,compartido,2,12219
190293,individual,3,9635
190294,compartido,1,9962
190295,individual,4,13461
190296,individual,3,17044
190297,individual,1,7478
190298,individual,4,8825
190299,compartido,3,13521
190300,individual,4,301
190301,compartido,4,14060
190302,compartido,1,17132
190303,individual,4,4880
190304,compartido,3,16218
190305,individual,3,11725
190306,compartido,4,10191
190307,individual,3,17499
190308,individual,4,14273
190309,individual,4,4581
190310,compartido,2,11271
190311,individual,1,8605
190312,individual,2,2932
190313,compartido,3,10829
190314,compartido,4,9274
190315,compartido,3,17206
190316,individual,4,17888
190317,compartido,2,16040
190318,individual,4,17078
190319,compartido,1,3059
190320,individual,1,8824
190321,compartido,1,2105
190322,compartido,3,3855
190323,compartido,2,7360
190324,compartido,1,16230
190325,compartido,2,9389
190326,individual,1,17117
190327,individual,4,19829
190328,compartido,4,13624
190329,individual,4,317
190330,individual,1,5608
190331,individual,4,8371
190332,compartido,1,9992
190333,individual,3,8257
190334,compartido,1,14634
190335,compartido,1,9367
190336,compartido,2,10594
190337,compartido,2,7866
190338,compartido,1,15526
190339,compartido,4,3040
190340,compartido,1,1626
190341,individual,2,18020
190342,compartido,1,9723
190343,individual,2,10459
190344,compartido,1,1895
190345,individual,3,1140
190346,compartido,2,824
190347,individual,4,16959
190348,compartido,2,9803
190349,individual,2,7414
190350,compartido,2,47
190351,individual,1,2851
190352,compartido,3,10875
190353,individual,1,2672
190354,compartido,3,9430
190355,individual,2,4255
190356,individual,3,5715
190357,individual,4,2241
190358,individual,2,10501
190359,individual,1,14993
190360,individual,2,12273
190361,individual,1,11116
190362,individual,3,8968
190363,individual,3,6740
190364,compartido,4,13911
190365,compartido,4,19929
190366,compartido,3,7524
190367,individual,3,3618
190368,compartido,2,10938
190369,individual,4,6550
190370,individual,2,13959
190371,individual,3,11179
190372,compartido,3,3040
190373,individual,3,1043
190374,individual,4,8022
190375,compartido,1,16134
190376,individual,1,14321
190377,compartido,2,14834
190378,individual,4,5806
190379,compartido,3,11915
190380,individual,3,8198
190381,compartido,1,7118
190382,individual,4,14170
190383,compartido,3,14980
190384,compartido,1,12920
190385,individual,2,11857
190386,compartido,4,16578
190387,individual,3,1436
190388,compartido,3,5377
190389,individual,2,13763
190390,compartido,1,11221
190391,individual,1,19312
190392,compartido,3,15769
190393,compartido,2,2463
190394,compartido,4,1589
190395,compartido,4,17172
190396,individual,1,2911
190397,individual,4,17248
190398,individual,2,6414
190399,compartido,4,1770
190400,compartido,2,2240
190401,individual,4,9181
190402,individual,1,4417
190403,compartido,2,18578
190404,individual,1,268
190405,compartido,1,9558
190406,individual,4,16536
190407,individual,4,3148
190408,compartido,1,10614
190409,individual,3,7240
190410,compartido,1,4758
190411,individual,2,19816
190412,compartido,3,8458
190413,individual,2,4693
190414,compartido,4,5720
190415,compartido,3,1027
190416,individual,2,14338
190417,individual,3,7625
190418,compartido,3,2058
190419,individual,3,9456
190420,individual,4,15409
190421,individual,1,16006
190422,compartido,3,8800
190423,individual,1,10183
190424,compartido,4,15244
190425,compartido,3,3191
190426,compartido,3,1941
